code,name,roe1,roe2,roe3,roe4,roe5,asset_ratio,pe,pb,dividend_yield,收益率
SH600329,达仁堂,12.64,11.83,12.16,11.93,11.05,0.2815961109740023,32.719,4.082,1.413,8.12106541599682
SZ002191,劲嘉股份,13.49,11.47,13.06,11.27,11.63,0.21565851592211657,14.161,1.413,4.611,8.07376589061507
SH601158,重庆水务,13.15,11.57,11.39,10.16,15.09,0.4356694651083687,14.415,1.513,4.84,8.013091099549081
SZ002372,伟星新材,27.0,29.95,27.05,29.45,28.19,0.2331963541965781,32.431,8.336,2.415,7.987361917918044
SZ300547,川环科技,11.58,13.07,13.95,18.8,17.53,0.15362715144943398,30.712,3.873,1.618,7.962191912998177
SZ300088,长信科技,12.29,12.58,16.09,15.54,13.29,0.2985827006409313,23.408,1.982,0.762,7.718906704032809
SH600479,千金药业,13.68,13.37,13.92,13.07,11.47,0.3350316726618474,15.059,2.149,5.709,7.710894892157515
SH600674,川投能源,10.33,11.36,11.52,15.158,15.341,0.33378988061589737,18.025,1.819,3.029,7.6107885284327335
SH601900,南方传媒,11.81,12.05,12.77,12.66,14.68,0.44604190678737243,14.215,1.154,3.7,7.548385015828349
SZ002139,拓邦股份,13.11,19.04,13.92,10.95,11.5,0.46738009962128857,34.88,2.868,0.397,7.480881064220182
SH600900,长江电力,14.92,16.71,14.77,16.31,16.91,0.4208475702477972,19.143,2.435,3.778,7.298624327952775
SZ000910,大亚圣象,10.16,11.71,15.51,19.02,20.59,0.32767909326021566,11.589,0.8,1.72,7.247097765122099
SH600276,恒瑞医药,13.96,22.51,24.02,23.6,23.28,0.09408630657242044,76.371,7.267,0.382,7.121397968155452
SZ300496,中科创达,12.19,13.68,15.04,13.94,11.96,0.13160274681691042,59.686,5.061,0.336,7.114879397915758
SZ300033,同花顺,25.55,33.59,38.37,24.93,20.23,0.19743570766286261,36.89,8.609,2.154,6.947161682298724
SZ002233,塔牌集团,16.69,17.62,18.42,20.01,13.36,0.15027447529803745,14.871,0.834,7.908,6.920958784748841
SH603686,福龙马,11.65,16.43,11.24,10.6,19.91,0.40775667393629683,17.541,1.35,2.463,6.8342044894817855
SH603919,金徽酒,11.32,12.53,11.84,13.57,14.58,0.20979600316458416,47.4,4.541,0.797,6.757991776371309
SH601888,中国中免,37.33,29.37,25.61,20.56,19.12,0.3728311723558286,64.905,7.803,0.779,6.722649272244047
SH600196,复星医药,12.39,10.84,11.55,10.26,13.02,0.4814706964441077,23.862,1.986,1.659,6.6870824244405345
SZ300408,三环集团,16.92,17.13,11.79,19.95,19.58,0.13042262571082122,37.768,3.475,1.05,6.60216082397797
SH600352,浙江龙盛,11.64,16.03,22.52,22.06,15.24,0.49856440115133277,15.652,1.051,2.483,6.5881638310759
SZ002690,美亚光电,21.7,19.1,23.61,20.14,17.38,0.22977771600211055,36.27,9.45,2.341,6.273140570719601
SZ002837,英维克,13.23,13.75,13.77,11.92,13.5,0.464392230355654,77.239,6.824,0.455,6.184995004078251
SH603726,朗迪集团,14.05,11.73,11.91,13.25,14.52,0.4701990353186381,22.7,2.251,2.992,6.1733075594713664
SZ002287,奇正藏药,23.21,17.01,17.18,16.44,16.78,0.4216011139470344,30.535,4.243,2.394,6.13178771999345
